"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Massachusetts"	"25"	6721	1889783	355.6
	"2006"	"2006"	"Michigan"	"26"	13295	2911178	456.7
	"2006"	"2006"	"Minnesota"	"27"	4630	1493840	309.9
	"2006"	"2006"	"Mississippi"	"28"	5309	789980	672.0
	"2006"	"2006"	"Missouri"	"29"	8131	1650736	492.6
	"2006"	"2006"	"Montana"	"30"	1173	286211	409.8
	"2006"	"2006"	"Nebraska"	"31"	1792	487383	367.7
	"2006"	"2006"	"Nevada"	"32"	3439	697371	493.1
	"2006"	"2006"	"New Hampshire"	"33"	1362	417531	326.2
	"2006"	"2006"	"New Jersey"	"34"	9867	2563834	384.9
	"2006"	"2006"	"New Mexico"	"35"	2643	547898	482.4
	"2006"	"2006"	"New York"	"36"	20867	5462826	382.0
	"2006"	"2006"	"North Carolina"	"37"	12348	2505192	492.9
	"2006"	"2006"	"North Dakota"	"38"	672	180280	372.8
	"2006"	"2006"	"Ohio"	"39"	15682	3326362	471.4
	"2006"	"2006"	"Oklahoma"	"40"	5623	980691	573.4
	"2006"	"2006"	"Oregon"	"41"	4411	1059616	416.3
	"2006"	"2006"	"Pennsylvania"	"42"	15973	3667965	435.5
	"2006"	"2006"	"Rhode Island"	"44"	1205	309040	389.9
	"2006"	"2006"	"South Carolina"	"45"	7074	1229175	575.5
	"2006"	"2006"	"South Dakota"	"46"	844	216581	389.7
	"2006"	"2006"	"Tennessee"	"47"	9980	1735722	575.0
	"2006"	"2006"	"Texas"	"48"	27312	6163998	443.1
	"2006"	"2006"	"Utah"	"49"	2010	555618	361.8
	"2006"	"2006"	"Vermont"	"50"	682	197194	345.9
	"2006"	"2006"	"Virginia"	"51"	9127	2243358	406.8
	"2006"	"2006"	"Washington"	"53"	6742	1859430	362.6
	"2006"	"2006"	"West Virginia"	"54"	3162	545664	579.5
	"2006"	"2006"	"Wisconsin"	"55"	5758	1628797	353.5
